age,gender,income,daily_gaming_hours,weekly_sessions,years_gaming,sleep_hours,caffeine_intake,exercise_hours,stress_level,anxiety_score,depression_score,social_interaction_score,relationship_satisfaction,academic_performance,work_productivity,addiction_level,multiplayer_ratio,toxic_exposure,violent_games_ratio,mobile_gaming_ratio,night_gaming_ratio,weekend_gaming_hours,friends_gaming_count,online_friends,streaming_hours,esports_interest,headset_usage,microtransactions_spending,parental_supervision,loneliness_score,aggression_score,happiness_score,bmi,screen_time_total,eye_strain_score,back_pain_score,competitive_rank,internet_quality
46,Female,140001,6.85,1,10,8.75,0.25,1.54,5,1.02,6.58,7.57,4.67,62.07,44.28,4.64,0.39,0.37,0.43,0.24,0.31,7.59,15,495,1.13,9,1,142.09,2,4.53,6.89,4.72,27.73,10.94,2.87,3.89,9,9
18,Male,105785,5.13,33,8,6.78,6.54,0.1,7,9.16,9.83,5.34,7.87,100.0,68.81,1.98,0.81,0.14,0.38,0.33,0.58,5.71,2,357,0.74,7,1,1466.25,0,5.65,2.0,6.74,20.1,8.33,3.44,2.21,37,6
38,Male,83185,3.24,6,12,6.27,0.31,5.0,2,2.1,6.3,8.05,2.8,86.74,68.92,2.83,0.05,0.39,0.61,0.64,0.84,1.08,33,29,1.25,10,0,1474.7,3,6.02,6.64,7.41,29.58,11.78,3.66,2.09,59,7
31,Other,58080,2.43,22,9,8.16,7.2,3.45,8,3.59,3.86,4.54,6.19,51.35,59.75,0.86,0.43,0.47,0.28,0.87,0.58,3.36,11,416,2.91,6,0,526.28,2,7.73,6.47,5.76,18.65,5.53,7.57,4.19,28,3
32,Female,137588,9.88,38,15,6.48,1.55,0.65,3,4.76,6.5,7.01,5.65,63.83,73.85,7.08,0.45,0.57,0.18,0.55,0.5,2.3,33,376,0.72,9,0,826.19,3,3.9,5.44,3.99,26.02,14.87,2.41,4.77,11,2
53,Female,28664,2.01,37,5,7.48,1.41,3.55,9,5.22,3.61,2.44,4.45,42.21,81.27,0.39,0.41,0.15,0.39,0.64,0.25,4.71,29,316,4.51,8,1,395.68,1,3.4,10.0,10.0,22.26,4.22,4.95,3.86,63,2
45,Male,43260,0.6,36,2,7.46,8.26,1.55,10,3.04,6.38,7.79,0.2,70.12,62.35,0.0,0.84,0.27,0.42,0.63,0.41,4.64,1,354,1.66,3,1,1090.41,3,9.6,3.4,5.27,20.45,10.43,1.3,6.91,91,2
52,Female,22788,3.32,10,6,6.4,0.17,0.82,3,1.58,3.8,6.17,6.83,81.36,68.82,1.19,0.19,0.06,0.48,0.15,0.25,10.44,21,329,1.06,9,0,222.51,2,3.79,3.2,4.08,33.62,4.76,1.46,0.0,74,6
30,Male,50682,5.53,33,12,5.95,0.65,0.37,4,3.82,3.03,5.22,7.35,81.69,70.29,3.32,0.57,0.18,0.42,0.49,0.5,14.55,24,464,3.21,5,1,1802.03,0,3.61,5.92,7.54,25.71,7.96,4.98,6.81,36,4
35,Female,103188,0.54,19,1,6.9,0.27,0.33,7,3.86,6.81,6.64,8.57,47.39,59.47,2.37,0.46,0.08,0.23,0.7,0.52,2.88,39,374,0.45,1,0,528.15,2,7.33,7.22,3.66,26.97,1.31,4.52,4.46,3,8
28,Male,120841,2.77,17,5,5.09,0.62,0.4,7,3.92,4.93,5.42,6.8,83.47,80.33,1.5,0.73,0.69,0.4,0.84,0.11,1.87,46,200,1.33,0,0,964.77,0,7.09,0.02,4.52,25.6,6.34,3.82,2.47,10,1
53,Female,88646,1.15,31,22,10.09,0.73,0.92,3,9.5,3.37,2.1,6.33,70.17,79.82,0.0,0.47,0.43,0.3,0.6,0.43,3.65,38,271,0.61,3,0,228.08,2,5.43,5.76,6.75,26.8,11.35,0.85,3.02,61,7
32,Female,27503,2.45,10,4,5.74,0.74,5.52,4,3.51,3.4,6.12,2.5,62.77,72.01,1.78,0.84,0.46,0.29,0.77,0.65,1.76,16,115,0.2,8,0,193.46,3,8.36,1.52,7.06,23.62,7.7,7.46,4.12,28,10
32,Female,123092,9.56,21,11,7.68,2.63,1.37,2,4.69,5.99,1.66,4.35,73.8,85.1,6.07,0.89,0.2,0.61,0.32,0.33,10.71,1,167,3.19,4,0,344.96,3,0.74,6.63,6.02,26.64,11.63,5.31,3.75,19,9
47,Male,27213,3.2,21,12,7.72,0.57,0.93,7,0.0,5.62,2.41,10.0,100.0,63.7,3.0,0.42,0.22,0.29,0.21,0.23,11.65,21,104,3.6,1,0,55.7,0,5.33,8.3,5.38,30.77,5.8,3.46,5.49,46,8
45,Female,144450,4.51,13,6,6.23,0.0,4.43,10,3.95,7.41,4.86,7.43,42.66,62.76,3.63,0.93,0.21,0.26,0.75,0.39,0.92,34,262,3.02,4,1,110.64,0,6.14,2.96,7.31,26.03,6.29,3.38,3.74,12,4
32,Female,133194,9.45,17,9,5.68,0.92,0.37,8,1.65,3.7,7.71,7.14,67.5,57.99,7.0,0.28,0.15,0.46,0.72,0.48,14.91,35,16,2.18,4,1,353.79,3,2.17,7.58,7.6,25.61,13.71,6.43,6.46,95,9
45,Male,62844,0.33,2,4,6.8,0.41,0.89,8,1.17,10.0,5.82,5.23,60.78,65.79,0.04,0.56,0.37,0.79,0.34,0.72,3.35,25,435,0.98,5,1,83.92,1,3.73,2.65,7.0,23.77,4.84,8.53,7.6,99,5
34,Female,89184,6.91,8,5,8.56,2.11,0.93,1,5.47,0.0,7.09,4.54,78.55,54.24,4.07,0.36,0.23,0.35,0.81,0.08,11.18,8,156,4.35,8,0,380.67,1,2.64,9.54,7.41,16.36,7.43,5.66,3.65,7,7
34,Female,17305,1.4,28,0,6.06,0.69,1.58,3,2.73,7.69,7.82,2.58,62.79,64.44,0.0,0.75,0.55,0.82,0.74,0.43,3.36,44,322,4.81,7,0,419.34,3,7.93,4.73,6.86,17.31,10.34,5.15,0.96,22,4
58,Male,111864,1.7,29,24,5.53,4.47,0.71,10,6.35,0.84,9.06,6.22,65.12,66.41,0.98,0.62,0.1,0.13,0.29,0.18,2.43,15,315,3.23,9,0,1214.25,2,6.14,6.11,4.39,29.74,2.96,2.3,6.03,47,7
50,Male,119434,4.17,15,22,5.66,0.37,0.57,1,4.18,6.86,7.74,4.64,68.43,57.94,2.18,0.38,0.21,0.77,0.28,0.62,7.28,30,436,1.13,7,0,693.7,0,3.88,7.56,2.18,22.18,5.19,5.84,4.68,71,4
57,Male,65916,4.05,2,6,6.31,1.99,0.23,6,5.42,7.05,5.73,5.33,69.24,68.51,2.81,0.67,0.79,0.71,0.49,0.66,2.2,24,302,0.31,9,1,366.44,1,5.91,2.23,4.3,30.99,5.02,6.63,3.73,29,5
45,Female,36027,7.76,36,12,5.86,0.07,3.62,5,3.07,5.36,7.73,7.94,78.8,57.62,3.52,0.93,0.6,0.17,0.55,0.36,21.78,15,433,0.8,8,1,58.08,3,5.16,4.83,3.46,23.13,9.86,5.12,4.18,81,4
45,Female,13734,5.78,15,20,5.79,0.27,1.9,8,4.02,4.03,4.56,7.97,62.51,84.67,2.47,0.4,0.55,0.55,0.28,0.64,4.42,41,102,6.61,10,0,18.77,2,3.08,6.94,7.91,29.53,6.4,5.03,6.96,94,5
47,Female,118195,2.32,36,20,8.98,2.53,0.96,9,2.77,3.43,9.19,8.39,68.3,74.51,2.42,0.51,0.09,0.16,0.37,0.3,0.9,3,454,3.52,2,1,704.46,2,4.52,5.85,7.2,20.62,4.58,4.47,5.76,3,1
29,Male,10866,8.09,4,3,7.91,2.49,1.91,10,2.93,4.97,4.59,7.85,43.63,69.13,6.69,0.89,0.1,0.27,0.79,0.35,13.84,9,348,2.86,9,1,90.68,1,3.53,3.7,7.44,25.45,10.95,6.31,3.05,21,10
42,Female,105716,1.29,3,13,3.74,1.83,0.29,6,6.52,5.94,6.78,7.39,56.1,50.95,0.0,0.26,0.36,0.54,0.59,0.7,0.75,12,223,3.93,10,0,110.2,3,5.08,7.79,2.43,17.39,7.15,6.18,5.2,14,8
47,Male,126155,0.63,26,0,6.37,2.11,0.09,7,5.16,2.78,9.64,4.66,56.28,58.53,0.91,0.43,0.16,0.74,0.47,0.66,6.68,5,263,2.0,9,0,50.65,0,5.05,4.57,1.64,19.64,2.49,2.96,3.11,67,10
58,Male,70712,0.79,20,1,5.92,3.42,1.48,7,3.11,1.96,6.39,4.06,49.55,71.19,0.0,0.15,0.42,0.45,0.22,0.22,6.73,47,460,0.77,5,1,354.18,2,5.35,3.26,5.78,21.91,1.26,5.01,3.84,60,5
35,Female,37126,1.86,27,4,8.54,3.87,0.36,8,5.26,6.8,6.12,3.94,83.71,59.21,0.64,0.6,0.28,0.15,0.14,0.23,3.94,19,338,0.26,7,1,526.73,2,7.43,4.64,9.34,28.36,3.95,4.91,3.85,67,1
52,Female,41448,6.81,8,15,8.35,0.59,1.66,5,5.42,4.36,6.28,5.82,76.17,64.79,5.31,0.26,0.06,0.33,0.7,0.61,2.88,34,252,2.15,1,0,426.99,0,10.0,3.66,5.11,17.59,8.28,4.81,3.63,42,3
59,Male,44486,0.12,6,20,7.89,0.11,0.76,3,6.22,5.49,5.32,5.64,88.36,100.0,0.0,0.64,0.17,0.4,0.45,0.51,5.32,14,310,1.47,9,1,209.68,2,5.59,5.7,6.24,21.25,9.25,6.23,4.29,77,9
52,Female,149586,3.29,16,20,4.95,1.2,0.9,4,5.36,6.51,6.6,9.89,77.28,64.61,2.46,0.6,0.06,0.5,0.4,0.71,1.89,25,2,3.33,7,0,334.49,1,6.89,3.34,6.82,21.06,9.19,5.27,4.11,69,10
54,Male,133733,8.53,1,15,9.02,0.7,0.46,9,7.9,7.03,7.48,3.13,85.11,65.39,5.43,0.52,0.52,0.78,0.23,0.36,6.22,34,96,2.22,6,1,11.44,1,3.79,7.92,5.81,20.55,12.41,6.03,4.67,64,8
36,Male,17652,5.89,3,19,7.93,0.16,5.08,2,1.41,0.0,5.0,5.63,85.5,57.86,5.21,0.35,0.06,0.27,0.13,0.44,1.34,46,492,2.17,7,0,75.67,3,6.24,3.64,9.55,16.09,6.6,2.38,3.52,67,6
19,Female,147576,11.74,18,8,5.87,1.68,1.45,8,3.29,10.0,5.22,8.14,41.36,80.55,7.7,0.64,0.4,0.83,0.81,0.71,7.3,37,2,0.91,6,1,234.68,2,4.44,2.46,4.84,24.01,13.65,5.29,6.93,63,6
32,Male,81003,2.23,6,12,6.14,1.12,1.16,2,7.28,0.0,2.97,8.6,80.51,71.72,1.63,0.36,0.29,0.48,0.13,0.69,5.81,41,244,0.16,9,1,951.9,2,4.32,5.93,3.51,26.3,5.39,5.98,1.13,37,8
58,Male,31261,3.85,4,7,7.55,1.03,3.15,10,5.23,6.18,1.44,4.73,78.26,87.31,3.13,0.96,0.33,0.65,0.7,0.54,4.26,48,423,9.66,3,1,11.57,0,4.43,4.58,7.97,26.16,5.98,5.85,1.48,40,1
26,Female,55049,3.72,29,11,6.18,0.74,5.17,6,5.99,0.48,7.11,2.25,60.78,69.22,1.41,0.65,0.04,0.47,0.06,0.44,0.48,8,136,1.57,8,1,441.66,2,5.13,6.97,2.9,25.48,9.53,9.23,7.46,80,10
49,Female,34709,0.32,16,8,7.02,5.81,6.56,5,9.48,5.99,5.7,8.89,82.67,84.22,0.0,0.33,0.23,0.36,0.78,0.6,4.66,39,179,2.3,10,0,988.64,3,6.87,4.35,5.07,25.65,5.82,0.75,4.26,9,6
